"Time","nvme0n1 - Reads completed","nvme0n1 - Writes completed"
2026-04-14 21:15:15,,5.92K io/s
2026-04-14 21:15:30,,8.67K io/s
2026-04-14 21:15:45,,14.1K io/s
2026-04-14 21:16:00,0 io/s,13.0K io/s
2026-04-14 21:16:15,,12.2 io/s
2026-04-14 21:16:30,,3.80 io/s
2026-04-14 21:16:45,,1.60 io/s
2026-04-14 21:17:00,0 io/s,5.77K io/s
2026-04-14 21:17:15,,3.77K io/s
2026-04-14 21:17:30,,7.20 io/s
2026-04-14 21:17:45,,10.3K io/s
2026-04-14 21:18:00,0 io/s,1 io/s
2026-04-14 21:18:15,,1 io/s
2026-04-14 21:18:30,,32.8 io/s
2026-04-14 21:18:45,,2 io/s
2026-04-14 21:19:00,14.2 io/s,139 io/s
2026-04-14 21:19:15,,2.80 io/s
2026-04-14 21:19:30,,1.20 io/s
2026-04-14 21:19:45,,1.40 io/s
2026-04-14 21:20:00,0 io/s,2.60 io/s
2026-04-14 21:20:15,,5 io/s
2026-04-14 21:20:30,,10.2 io/s
2026-04-14 21:20:45,,1.20 io/s
2026-04-14 21:21:00,0 io/s,12.4 io/s
