"Time","recv eth0","recv lo","trans eth0 ","trans lo "
2026-04-14 21:16:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:16:45,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:17:00,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:17:15,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:17:30,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:17:45,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:18:00,1.23 kb/s,0 b/s,26.2 kb/s,0 b/s
2026-04-14 21:18:15,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:18:30,1.34 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:18:45,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:19:00,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:19:15,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 21:19:30,1.11 kb/s,0 b/s,26.2 kb/s,0 b/s
2026-04-14 21:19:45,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:20:00,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:20:15,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:20:30,1.18 kb/s,0 b/s,26.2 kb/s,0 b/s
2026-04-14 21:20:45,1.56 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:21:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
